evaluation_id,category,score,model_version,date
eval_0108,knowledge,68.6,model-v1,2025-01-19
eval_1109,instruction_following,85.6,model-v3,2025-01-02
eval_0356,tool_calling,43.2,model-v1,2025-01-02
eval_0951,knowledge,84.9,model-v3,2025-02-19
eval_0343,tool_calling,16.1,model-v1,2025-02-17
eval_0355,tool_calling,23.0,model-v1,2025-03-27
eval_0024,reasoning,60.1,model-v1,2025-02-27
eval_0044,reasoning,64.8,model-v1,2025-05-27
eval_0244,instruction_following,72.7,model-v1,2025-05-28
eval_0738,tool_calling,63.9,model-v2,2025-03-09
eval_1136,tool_calling,71.4,model-v3,2025-05-18
eval_0368,tool_calling,44.9,model-v1,2025-03-14
eval_0164,code,53.6,model-v1,2025-01-31
eval_1116,instruction_following,89.0,model-v3,2025-02-23
eval_0333,tool_calling,34.4,model-v1,2025-01-04
eval_0989,code,72.7,model-v3,2025-01-04
eval_1173,tool_calling,67.4,model-v3,2025-04-27
eval_1002,code,62.8,model-v3,2025-03-11
eval_0378,tool_calling,55.2,model-v1,2025-04-29
eval_0310,instruction_following,70.8,model-v1,2025-03-27
eval_0156,knowledge,61.1,model-v1,2025-05-01
eval_0211,code,50.6,model-v1,2025-04-13
eval_0087,knowledge,84.6,model-v1,2025-01-03
eval_0169,code,38.5,model-v1,2025-05-19
eval_0995,code,80.9,model-v3,2025-03-08
eval_0052,reasoning,69.6,model-v1,2025-02-11
eval_0439,reasoning,88.7,model-v2,2025-03-06
eval_0550,knowledge,75.5,model-v2,2025-05-18
eval_0491,knowledge,65.8,model-v2,2025-05-28
eval_0426,reasoning,73.7,model-v2,2025-04-12
eval_0136,knowledge,71.7,model-v1,2025-03-05
eval_1192,tool_calling,86.9,model-v3,2025-03-21
eval_0055,reasoning,56.4,model-v1,2025-03-09
eval_0079,reasoning,69.5,model-v1,2025-01-15
eval_0431,reasoning,74.0,model-v2,2025-02-10
eval_0185,code,58.5,model-v1,2025-01-26
eval_0057,reasoning,58.7,model-v1,2025-01-20
eval_0943,knowledge,92.6,model-v3,2025-03-13
eval_0851,reasoning,80.3,model-v3,2025-04-12
eval_1164,tool_calling,78.4,model-v3,2025-03-03
eval_0219,code,59.4,model-v1,2025-02-05
eval_0845,reasoning,74.5,model-v3,2025-05-30
eval_0114,knowledge,65.1,model-v1,2025-02-15
eval_0549,knowledge,78.6,model-v2,2025-05-29
eval_1019,code,80.6,model-v3,2025-05-30
eval_1073,instruction_following,92.2,model-v3,2025-01-07
eval_0175,code,80.9,model-v1,2025-04-04
eval_1023,code,61.9,model-v3,2025-01-30
eval_0616,code,53.6,model-v2,2025-05-24
eval_0514,knowledge,65.8,model-v2,2025-03-27
eval_0462,reasoning,58.9,model-v2,2025-03-19
eval_0287,instruction_following,81.4,model-v1,2025-03-02
eval_0382,tool_calling,66.4,model-v1,2025-01-18
eval_1008,code,76.9,model-v3,2025-03-14
eval_0671,instruction_following,87.8,model-v2,2025-05-10
eval_0535,knowledge,80.7,model-v2,2025-04-10
eval_0910,knowledge,85.3,model-v3,2025-05-28
eval_0293,instruction_following,56.1,model-v1,2025-05-07
eval_0124,knowledge,61.8,model-v1,2025-05-20
eval_0583,code,80.6,model-v2,2025-03-22
eval_0141,knowledge,83.1,model-v1,2025-01-28
eval_0736,tool_calling,60.9,model-v2,2025-04-09
eval_0082,knowledge,71.8,model-v1,2025-01-03
eval_0882,knowledge,74.0,model-v3,2025-03-01
eval_0740,tool_calling,57.3,model-v2,2025-03-01
eval_1102,instruction_following,88.6,model-v3,2025-03-20
eval_0909,knowledge,84.2,model-v3,2025-05-12
eval_1167,tool_calling,67.4,model-v3,2025-05-31
eval_0937,knowledge,89.3,model-v3,2025-04-05
eval_0372,tool_calling,50.1,model-v1,2025-05-17
eval_0890,knowledge,86.5,model-v3,2025-03-09
eval_0157,knowledge,76.4,model-v1,2025-03-11
eval_0992,code,100.0,model-v3,2025-05-31
eval_0622,code,35.5,model-v2,2025-02-01
eval_1038,code,91.6,model-v3,2025-02-10
eval_0245,instruction_following,72.6,model-v1,2025-03-31
eval_0159,knowledge,69.9,model-v1,2025-02-20
eval_0746,tool_calling,63.1,model-v2,2025-05-12
eval_0193,code,44.2,model-v1,2025-05-21
eval_0534,knowledge,81.7,model-v2,2025-05-15
eval_0904,knowledge,81.0,model-v3,2025-02-03
eval_1004,code,61.3,model-v3,2025-01-13
eval_1070,instruction_following,74.8,model-v3,2025-03-21
eval_0414,reasoning,77.0,model-v2,2025-03-26
eval_1187,tool_calling,73.8,model-v3,2025-04-19
eval_0328,tool_calling,57.3,model-v1,2025-03-17
eval_0129,knowledge,68.4,model-v1,2025-01-23
eval_0695,instruction_following,78.5,model-v2,2025-01-16
eval_0631,code,56.8,model-v2,2025-01-01
eval_0275,instruction_following,53.2,model-v1,2025-01-20
eval_1148,tool_calling,54.6,model-v3,2025-04-03
eval_0309,instruction_following,66.0,model-v1,2025-02-22
eval_0234,code,61.6,model-v1,2025-04-27
eval_1048,instruction_following,80.9,model-v3,2025-01-08
eval_0623,code,45.8,model-v2,2025-01-25
eval_0644,instruction_following,49.8,model-v2,2025-02-08
eval_0479,reasoning,79.6,model-v2,2025-03-16
eval_0472,reasoning,67.2,model-v2,2025-01-10
eval_0926,knowledge,80.0,model-v3,2025-03-23
eval_1098,instruction_following,93.9,model-v3,2025-04-22
eval_0627,code,68.5,model-v2,2025-02-27
eval_0395,tool_calling,54.2,model-v1,2025-01-24
eval_0637,code,88.6,model-v2,2025-05-27
eval_0768,tool_calling,59.6,model-v2,2025-01-08
eval_0533,knowledge,80.7,model-v2,2025-04-27
eval_0718,instruction_following,83.9,model-v2,2025-01-26
eval_0667,instruction_following,80.8,model-v2,2025-05-08
eval_0598,code,59.0,model-v2,2025-03-20
eval_0482,knowledge,74.9,model-v2,2025-02-11
eval_1103,instruction_following,86.4,model-v3,2025-05-01
eval_0315,instruction_following,64.6,model-v1,2025-03-30
eval_0729,tool_calling,50.2,model-v2,2025-01-10
eval_0210,code,55.8,model-v1,2025-03-12
eval_0934,knowledge,78.7,model-v3,2025-04-04
eval_0434,reasoning,65.1,model-v2,2025-01-28
eval_0329,tool_calling,47.1,model-v1,2025-05-09
eval_0261,instruction_following,72.2,model-v1,2025-03-23
eval_1117,instruction_following,85.3,model-v3,2025-02-23
eval_0307,instruction_following,68.7,model-v1,2025-01-15
eval_1067,instruction_following,83.5,model-v3,2025-01-09
eval_0928,knowledge,71.7,model-v3,2025-04-05
eval_1025,code,79.0,model-v3,2025-01-11
eval_0271,instruction_following,78.0,model-v1,2025-04-15
eval_0291,instruction_following,72.9,model-v1,2025-01-24
eval_0813,reasoning,94.8,model-v3,2025-05-08
eval_0097,knowledge,73.1,model-v1,2025-03-04
eval_0888,knowledge,76.6,model-v3,2025-04-28
eval_0819,reasoning,73.5,model-v3,2025-05-28
eval_0032,reasoning,57.1,model-v1,2025-01-14
eval_0763,tool_calling,81.2,model-v2,2025-02-26
eval_0954,knowledge,84.3,model-v3,2025-03-23
eval_0320,instruction_following,68.6,model-v1,2025-04-29
eval_0299,instruction_following,71.4,model-v1,2025-05-19
eval_0200,code,38.3,model-v1,2025-01-15
eval_0561,code,66.5,model-v2,2025-04-20
eval_0179,code,61.5,model-v1,2025-03-21
eval_1132,tool_calling,54.0,model-v3,2025-02-02
eval_0089,knowledge,63.6,model-v1,2025-05-27
eval_0788,tool_calling,82.3,model-v2,2025-03-20
eval_0725,tool_calling,60.2,model-v2,2025-01-25
eval_0827,reasoning,78.1,model-v3,2025-01-13
eval_0209,code,59.0,model-v1,2025-03-13
eval_1040,code,74.7,model-v3,2025-04-02
eval_0297,instruction_following,67.9,model-v1,2025-04-01
eval_0998,code,67.6,model-v3,2025-05-18
eval_0498,knowledge,77.5,model-v2,2025-02-04
eval_0835,reasoning,79.6,model-v3,2025-01-31
eval_0430,reasoning,71.4,model-v2,2025-05-17
eval_0507,knowledge,76.4,model-v2,2025-03-21
eval_0831,reasoning,61.9,model-v3,2025-01-23
eval_0694,instruction_following,85.6,model-v2,2025-04-26
eval_0011,reasoning,72.6,model-v1,2025-04-16
eval_0848,reasoning,80.9,model-v3,2025-03-27
eval_0463,reasoning,77.5,model-v2,2025-04-30
eval_0199,code,43.6,model-v1,2025-01-08
eval_0060,reasoning,73.6,model-v1,2025-01-31
eval_0907,knowledge,73.4,model-v3,2025-04-11
eval_0997,code,69.0,model-v3,2025-05-06
eval_0276,instruction_following,74.5,model-v1,2025-01-19
eval_0809,reasoning,99.3,model-v3,2025-05-30
eval_0908,knowledge,89.0,model-v3,2025-05-22
eval_0658,instruction_following,78.1,model-v2,2025-03-02
eval_0957,knowledge,59.1,model-v3,2025-04-04
eval_0886,knowledge,72.6,model-v3,2025-01-12
eval_0221,code,28.6,model-v1,2025-01-22
eval_0789,tool_calling,60.7,model-v2,2025-01-25
eval_0712,instruction_following,76.8,model-v2,2025-02-03
eval_0714,instruction_following,84.0,model-v2,2025-05-04
eval_1113,instruction_following,72.6,model-v3,2025-01-24
eval_1191,tool_calling,68.3,model-v3,2025-05-25
eval_0790,tool_calling,81.0,model-v2,2025-02-17
eval_0416,reasoning,75.9,model-v2,2025-04-30
eval_0899,knowledge,69.5,model-v3,2025-05-10
eval_0935,knowledge,80.0,model-v3,2025-04-09
eval_0266,instruction_following,85.8,model-v1,2025-05-23
eval_0632,code,74.2,model-v2,2025-02-18
eval_0248,instruction_following,64.5,model-v1,2025-04-29
eval_0683,instruction_following,76.6,model-v2,2025-05-25
eval_0559,knowledge,73.2,model-v2,2025-04-08
eval_1137,tool_calling,55.5,model-v3,2025-01-17
eval_0968,code,67.4,model-v3,2025-02-17
eval_1005,code,57.6,model-v3,2025-04-18
eval_0985,code,70.5,model-v3,2025-02-25
eval_0295,instruction_following,60.7,model-v1,2025-05-24
eval_0520,knowledge,71.7,model-v2,2025-03-05
eval_0771,tool_calling,78.9,model-v2,2025-02-26
eval_0084,knowledge,83.6,model-v1,2025-02-04
eval_0232,code,81.0,model-v1,2025-03-05
eval_0621,code,62.4,model-v2,2025-05-25
eval_0334,tool_calling,58.6,model-v1,2025-03-02
eval_0130,knowledge,69.6,model-v1,2025-04-06
eval_1012,code,100.0,model-v3,2025-03-03
eval_0645,instruction_following,65.2,model-v2,2025-02-16
eval_0974,code,63.3,model-v3,2025-03-08
eval_0383,tool_calling,9.7,model-v1,2025-03-18
eval_0868,reasoning,83.0,model-v3,2025-03-31
eval_0543,knowledge,87.2,model-v2,2025-02-10
eval_1194,tool_calling,72.5,model-v3,2025-04-01
eval_0875,reasoning,90.0,model-v3,2025-02-28
eval_0332,tool_calling,54.9,model-v1,2025-01-16
eval_0410,reasoning,64.6,model-v2,2025-05-13
eval_0077,reasoning,56.9,model-v1,2025-01-22
eval_0869,reasoning,72.7,model-v3,2025-05-26
eval_0139,knowledge,68.8,model-v1,2025-01-26
eval_0544,knowledge,77.3,model-v2,2025-01-27
eval_0674,instruction_following,82.6,model-v2,2025-03-15
eval_0921,knowledge,100.0,model-v3,2025-01-23
eval_0064,reasoning,69.0,model-v1,2025-03-29
eval_0142,knowledge,72.2,model-v1,2025-05-21
eval_0717,instruction_following,82.3,model-v2,2025-03-28
eval_0377,tool_calling,40.8,model-v1,2025-04-05
eval_0364,tool_calling,74.1,model-v1,2025-05-29
eval_0140,knowledge,72.9,model-v1,2025-04-01
eval_0885,knowledge,79.2,model-v3,2025-04-20
eval_1042,instruction_following,72.5,model-v3,2025-05-09
eval_0225,code,68.0,model-v1,2025-04-29
eval_0515,knowledge,58.3,model-v2,2025-02-10
eval_0267,instruction_following,59.6,model-v1,2025-01-24
eval_1170,tool_calling,73.5,model-v3,2025-03-08
eval_0487,knowledge,64.1,model-v2,2025-01-20
eval_0353,tool_calling,39.0,model-v1,2025-01-22
eval_1006,code,78.2,model-v3,2025-01-03
eval_0618,code,53.8,model-v2,2025-01-25
eval_0668,instruction_following,83.9,model-v2,2025-05-09
eval_0775,tool_calling,69.3,model-v2,2025-02-13
eval_0554,knowledge,91.2,model-v2,2025-03-12
eval_0576,code,90.8,model-v2,2025-04-18
eval_0915,knowledge,80.3,model-v3,2025-02-23
eval_0466,reasoning,73.0,model-v2,2025-01-08
eval_0591,code,73.5,model-v2,2025-01-06
eval_0765,tool_calling,83.8,model-v2,2025-03-12
eval_0635,code,69.3,model-v2,2025-01-11
eval_0838,reasoning,87.8,model-v3,2025-01-01
eval_0290,instruction_following,71.6,model-v1,2025-03-04
eval_0040,reasoning,69.8,model-v1,2025-04-16
eval_0031,reasoning,87.7,model-v1,2025-05-25
eval_0243,instruction_following,66.2,model-v1,2025-02-26
eval_0429,reasoning,66.2,model-v2,2025-04-12
eval_0137,knowledge,85.8,model-v1,2025-01-01
eval_1101,instruction_following,94.5,model-v3,2025-02-08
eval_0865,reasoning,89.7,model-v3,2025-05-09
eval_0004,reasoning,73.3,model-v1,2025-01-26
eval_0833,reasoning,68.0,model-v3,2025-02-06
eval_0603,code,67.4,model-v2,2025-03-01
eval_1034,code,84.8,model-v3,2025-02-17
eval_0655,instruction_following,91.9,model-v2,2025-03-24
eval_0844,reasoning,85.7,model-v3,2025-05-13
eval_0784,tool_calling,33.6,model-v2,2025-02-28
eval_1074,instruction_following,69.5,model-v3,2025-05-04
eval_0443,reasoning,67.6,model-v2,2025-04-28
eval_1178,tool_calling,56.8,model-v3,2025-03-24
eval_0436,reasoning,86.0,model-v2,2025-03-26
eval_1169,tool_calling,83.3,model-v3,2025-02-19
eval_0101,knowledge,74.1,model-v1,2025-01-04
eval_0773,tool_calling,67.9,model-v2,2025-04-04
eval_0495,knowledge,61.5,model-v2,2025-01-08
eval_1028,code,70.2,model-v3,2025-05-31
eval_0807,reasoning,77.4,model-v3,2025-01-16
eval_1142,tool_calling,83.3,model-v3,2025-02-13
eval_0846,reasoning,68.8,model-v3,2025-02-26
eval_0987,code,82.6,model-v3,2025-04-05
eval_0228,code,39.2,model-v1,2025-01-14
eval_1193,tool_calling,57.2,model-v3,2025-04-07
eval_0672,instruction_following,75.7,model-v2,2025-03-24
eval_0859,reasoning,90.4,model-v3,2025-02-06
eval_0925,knowledge,81.1,model-v3,2025-02-09
eval_0067,reasoning,57.8,model-v1,2025-03-11
eval_0068,reasoning,56.5,model-v1,2025-05-10
eval_0817,reasoning,84.2,model-v3,2025-05-20
eval_0212,code,53.4,model-v1,2025-03-20
eval_0013,reasoning,62.8,model-v1,2025-04-19
eval_0494,knowledge,54.5,model-v2,2025-01-03
eval_1165,tool_calling,88.3,model-v3,2025-03-07
eval_0300,instruction_following,75.8,model-v1,2025-01-06
eval_0411,reasoning,85.0,model-v2,2025-01-01
eval_0757,tool_calling,71.4,model-v2,2025-01-01
eval_1075,instruction_following,87.4,model-v3,2025-01-25
eval_0696,instruction_following,73.2,model-v2,2025-03-14
eval_1151,tool_calling,58.8,model-v3,2025-05-20
eval_0724,tool_calling,61.9,model-v2,2025-01-27
eval_1016,code,81.9,model-v3,2025-03-25
eval_0528,knowledge,66.7,model-v2,2025-03-20
eval_0600,code,50.6,model-v2,2025-03-16
eval_1120,instruction_following,86.3,model-v3,2025-03-13
eval_0567,code,63.1,model-v2,2025-04-04
eval_0731,tool_calling,81.5,model-v2,2025-04-16
eval_0274,instruction_following,61.3,model-v1,2025-03-13
eval_0967,code,66.8,model-v3,2025-01-27
eval_0238,code,50.6,model-v1,2025-02-20
eval_0406,reasoning,79.9,model-v2,2025-02-18
eval_0003,reasoning,71.0,model-v1,2025-02-18
eval_0007,reasoning,63.5,model-v1,2025-01-17
eval_0312,instruction_following,89.5,model-v1,2025-04-17
eval_1091,instruction_following,88.2,model-v3,2025-05-06
eval_0452,reasoning,72.9,model-v2,2025-01-16
eval_0722,tool_calling,69.4,model-v2,2025-01-13
eval_0216,code,16.5,model-v1,2025-05-01
eval_1086,instruction_following,75.3,model-v3,2025-03-18
eval_0028,reasoning,66.4,model-v1,2025-04-06
eval_1158,tool_calling,68.6,model-v3,2025-04-14
eval_0362,tool_calling,37.0,model-v1,2025-04-06
eval_0823,reasoning,100.0,model-v3,2025-05-22
eval_0781,tool_calling,87.8,model-v2,2025-02-22
eval_0629,code,81.6,model-v2,2025-01-24
eval_0454,reasoning,69.4,model-v2,2025-01-07
eval_0739,tool_calling,64.5,model-v2,2025-05-19
eval_0536,knowledge,78.1,model-v2,2025-03-01
eval_1050,instruction_following,75.4,model-v3,2025-05-11
eval_0399,tool_calling,46.6,model-v1,2025-05-27
eval_0257,instruction_following,81.7,model-v1,2025-03-23
eval_0292,instruction_following,81.5,model-v1,2025-03-03
eval_0026,reasoning,57.8,model-v1,2025-02-15
eval_0337,tool_calling,43.4,model-v1,2025-04-05
eval_0585,code,61.6,model-v2,2025-04-19
eval_0048,reasoning,64.7,model-v1,2025-04-19
eval_0319,instruction_following,82.4,model-v1,2025-02-07
eval_0107,knowledge,63.9,model-v1,2025-03-07
eval_0799,tool_calling,63.2,model-v2,2025-01-02
eval_0056,reasoning,54.3,model-v1,2025-05-17
eval_0523,knowledge,72.3,model-v2,2025-05-23
eval_0214,code,57.3,model-v1,2025-04-26
eval_0121,knowledge,60.3,model-v1,2025-03-20
eval_0918,knowledge,85.5,model-v3,2025-01-10
eval_1068,instruction_following,87.4,model-v3,2025-05-13
eval_1118,instruction_following,90.3,model-v3,2025-04-07
eval_0073,reasoning,51.0,model-v1,2025-04-11
eval_0948,knowledge,85.2,model-v3,2025-05-23
eval_0747,tool_calling,74.1,model-v2,2025-03-10
eval_0716,instruction_following,81.5,model-v2,2025-05-10
eval_0558,knowledge,75.4,model-v2,2025-05-13
eval_1082,instruction_following,68.6,model-v3,2025-02-05
eval_1046,instruction_following,74.0,model-v3,2025-02-04
eval_0553,knowledge,74.3,model-v2,2025-02-21
eval_0562,code,83.8,model-v2,2025-01-16
eval_0425,reasoning,78.9,model-v2,2025-03-30
eval_1014,code,72.7,model-v3,2025-03-27
eval_0326,tool_calling,70.9,model-v1,2025-02-21
eval_0924,knowledge,89.3,model-v3,2025-05-18
eval_0317,instruction_following,72.8,model-v1,2025-04-04
eval_0804,reasoning,78.6,model-v3,2025-05-21
eval_1163,tool_calling,69.1,model-v3,2025-01-08
eval_0529,knowledge,82.7,model-v2,2025-03-06
eval_0837,reasoning,84.1,model-v3,2025-03-10
eval_0715,instruction_following,81.7,model-v2,2025-02-13
eval_0901,knowledge,89.7,model-v3,2025-02-12
eval_0061,reasoning,41.8,model-v1,2025-04-19
eval_0723,tool_calling,83.2,model-v2,2025-02-20
eval_0093,knowledge,76.4,model-v1,2025-05-21
eval_0858,reasoning,74.7,model-v3,2025-03-23
eval_0619,code,71.8,model-v2,2025-02-26
eval_0352,tool_calling,55.0,model-v1,2025-02-16
eval_0933,knowledge,77.9,model-v3,2025-05-11
eval_0281,instruction_following,80.8,model-v1,2025-01-15
eval_0421,reasoning,55.3,model-v2,2025-05-11
eval_1115,instruction_following,79.7,model-v3,2025-03-01
eval_0360,tool_calling,53.5,model-v1,2025-04-17
eval_0423,reasoning,62.1,model-v2,2025-05-24
eval_0679,instruction_following,82.0,model-v2,2025-05-03
eval_0527,knowledge,85.2,model-v2,2025-02-24
eval_0478,reasoning,42.8,model-v2,2025-02-15
eval_1095,instruction_following,77.5,model-v3,2025-05-01
eval_0183,code,51.4,model-v1,2025-05-25
eval_1092,instruction_following,87.2,model-v3,2025-04-29
eval_0433,reasoning,76.2,model-v2,2025-03-13
eval_0111,knowledge,68.4,model-v1,2025-01-13
eval_0371,tool_calling,71.3,model-v1,2025-04-09
eval_0240,code,44.5,model-v1,2025-05-16
eval_0709,instruction_following,70.6,model-v2,2025-02-24
eval_0630,code,59.2,model-v2,2025-05-19
eval_0594,code,55.2,model-v2,2025-05-15
eval_0486,knowledge,73.1,model-v2,2025-03-31
eval_0701,instruction_following,84.4,model-v2,2025-04-02
eval_0262,instruction_following,56.0,model-v1,2025-04-16
eval_0480,reasoning,74.0,model-v2,2025-03-01
eval_0650,instruction_following,90.0,model-v2,2025-05-28
eval_0340,tool_calling,63.0,model-v1,2025-01-27
eval_0669,instruction_following,71.0,model-v2,2025-02-19
eval_0552,knowledge,74.5,model-v2,2025-02-02
eval_0459,reasoning,91.3,model-v2,2025-05-29
eval_0184,code,51.0,model-v1,2025-05-25
eval_0138,knowledge,71.6,model-v1,2025-05-26
eval_1161,tool_calling,78.1,model-v3,2025-04-24
eval_0707,instruction_following,75.0,model-v2,2025-03-11
eval_0582,code,58.8,model-v2,2025-02-21
eval_0081,knowledge,59.8,model-v1,2025-05-22
eval_0769,tool_calling,64.4,model-v2,2025-05-21
eval_0870,reasoning,73.7,model-v3,2025-05-13
eval_0762,tool_calling,51.9,model-v2,2025-05-06
eval_0030,reasoning,67.2,model-v1,2025-02-24
eval_0542,knowledge,90.6,model-v2,2025-05-26
eval_0166,code,33.0,model-v1,2025-04-15
eval_0249,instruction_following,72.9,model-v1,2025-02-08
eval_0308,instruction_following,60.7,model-v1,2025-03-28
eval_0448,reasoning,76.8,model-v2,2025-01-06
eval_0347,tool_calling,36.5,model-v1,2025-04-02
eval_0335,tool_calling,65.4,model-v1,2025-05-31
eval_0286,instruction_following,75.8,model-v1,2025-04-03
eval_0950,knowledge,81.8,model-v3,2025-02-27
eval_0098,knowledge,78.4,model-v1,2025-01-31
eval_0468,reasoning,67.4,model-v2,2025-01-17
eval_1037,code,70.1,model-v3,2025-04-24
eval_0913,knowledge,87.3,model-v3,2025-03-27
eval_0756,tool_calling,71.6,model-v2,2025-04-21
eval_0945,knowledge,89.7,model-v3,2025-03-03
eval_0614,code,70.9,model-v2,2025-03-14
eval_0802,reasoning,83.7,model-v3,2025-05-05
eval_0758,tool_calling,70.3,model-v2,2025-03-27
eval_0689,instruction_following,78.1,model-v2,2025-01-04
eval_0066,reasoning,71.5,model-v1,2025-01-27
eval_0794,tool_calling,63.1,model-v2,2025-04-13
eval_0744,tool_calling,59.1,model-v2,2025-05-28
eval_0568,code,58.2,model-v2,2025-01-28
eval_1084,instruction_following,78.1,model-v3,2025-03-17
eval_1099,instruction_following,75.0,model-v3,2025-02-13
eval_0303,instruction_following,73.4,model-v1,2025-03-14
eval_0255,instruction_following,74.1,model-v1,2025-02-07
eval_0959,knowledge,80.7,model-v3,2025-01-29
eval_1024,code,80.6,model-v3,2025-04-30
eval_0313,instruction_following,61.6,model-v1,2025-03-24
eval_0530,knowledge,80.8,model-v2,2025-03-03
eval_0222,code,59.9,model-v1,2025-05-21
eval_0389,tool_calling,43.9,model-v1,2025-05-26
eval_0236,code,61.6,model-v1,2025-04-12
eval_0810,reasoning,99.6,model-v3,2025-01-08
eval_0483,knowledge,81.3,model-v2,2025-04-19
eval_0713,instruction_following,76.3,model-v2,2025-04-10
eval_0306,instruction_following,66.5,model-v1,2025-02-04
eval_1111,instruction_following,88.7,model-v3,2025-05-03
eval_1090,instruction_following,87.6,model-v3,2025-03-01
eval_0772,tool_calling,57.9,model-v2,2025-03-15
eval_0917,knowledge,85.4,model-v3,2025-05-21
eval_1139,tool_calling,68.0,model-v3,2025-05-29
eval_0250,instruction_following,87.3,model-v1,2025-04-07
eval_0760,tool_calling,72.8,model-v2,2025-03-25
eval_0595,code,49.3,model-v2,2025-01-01
eval_0072,reasoning,48.4,model-v1,2025-04-19
eval_0095,knowledge,55.3,model-v1,2025-04-26
eval_0546,knowledge,75.1,model-v2,2025-01-31
eval_0034,reasoning,52.2,model-v1,2025-01-18
eval_0862,reasoning,61.9,model-v3,2025-05-26
eval_0579,code,72.8,model-v2,2025-03-28
eval_0449,reasoning,54.6,model-v2,2025-05-22
eval_0446,reasoning,58.8,model-v2,2025-03-07
eval_0260,instruction_following,94.9,model-v1,2025-03-29
eval_0205,code,68.9,model-v1,2025-01-20
eval_0573,code,63.6,model-v2,2025-01-28
eval_0824,reasoning,83.0,model-v3,2025-04-13
eval_0586,code,79.8,model-v2,2025-02-07
eval_0366,tool_calling,33.8,model-v1,2025-04-04
eval_0812,reasoning,70.7,model-v3,2025-05-23
eval_0078,reasoning,63.9,model-v1,2025-03-30
eval_0085,knowledge,78.4,model-v1,2025-02-12
eval_0539,knowledge,70.0,model-v2,2025-03-12
eval_0083,knowledge,72.2,model-v1,2025-01-27
eval_0458,reasoning,66.7,model-v2,2025-01-10
eval_1138,tool_calling,61.7,model-v3,2025-02-14
eval_0615,code,80.3,model-v2,2025-05-06
eval_1186,tool_calling,75.5,model-v3,2025-04-04
eval_1076,instruction_following,93.3,model-v3,2025-04-24
eval_0737,tool_calling,69.1,model-v2,2025-01-28
eval_0437,reasoning,59.6,model-v2,2025-02-18
eval_0555,knowledge,83.0,model-v2,2025-05-13
eval_1080,instruction_following,84.2,model-v3,2025-01-18
eval_1062,instruction_following,76.9,model-v3,2025-05-22
eval_0351,tool_calling,86.7,model-v1,2025-03-05
eval_0197,code,78.6,model-v1,2025-04-20
eval_0465,reasoning,61.4,model-v2,2025-01-08
eval_0589,code,68.2,model-v2,2025-02-14
eval_0006,reasoning,46.4,model-v1,2025-01-04
eval_0311,instruction_following,81.2,model-v1,2025-03-31
eval_0662,instruction_following,73.1,model-v2,2025-04-03
eval_0405,reasoning,65.3,model-v2,2025-02-15
eval_1196,tool_calling,76.4,model-v3,2025-04-22
eval_1044,instruction_following,88.9,model-v3,2025-05-09
eval_1058,instruction_following,79.3,model-v3,2025-01-20
eval_0105,knowledge,61.9,model-v1,2025-05-05
eval_0537,knowledge,58.9,model-v2,2025-01-25
eval_0606,code,77.4,model-v2,2025-03-07
eval_0063,reasoning,64.0,model-v1,2025-05-03
